Matrix Size, Block Size, Executor Num, DAAL CPU Only(s), Vanilla OpenBLAS(s), DAAL gemm(ms), Vanilla gemm(ms)
1024*10240*10240, 2048, 2,  2.496,  4.573, 102.425, 451.036666667
2048*20480*20480, 1024, 2,  11.673,  30.424, 35.5262037037, 225.559047619
640*4096*4096, 4096, 4,  1.916,  1.829, 168.0, 244.5
320*2048*2048, 1024, 4,  0.835,  0.574, 15.2916666667, 71.4375
1024*10240*10240, 2048, 4,  2.38,  4.196, 110.828571429, 385.716666667
2048*20480*20480, 1024, 1,  17.608,  39.028, 21.8958333333, 134.927916667
256*1024*1024, 1024, 4,  0.868,  0.495, 19.6666666667, 68.75
2048*20480*20480, 4096, 4,  10.57,  23.395, 694.461904762, 2878.58333333
256*1024*1024, 4096, 4,  0.806,  0.462, 20.6666666667, 50.5
256*1024*1024, 2048, 4,  0.862,  0.864, 20.6666666667, 76.6666666667
320*2048*2048, 1024, 1,  0.323,  0.392, 16.8125, 42.1875
2048*20480*20480, 2048, 2,  10.614,  25.214, 135.394814815, 571.0025
320*2048*2048, 4096, 1,  0.471,  0.537, 38.3333333333, 57.3333333333
1024*10240*10240, 2048, 1,  3.755,  5.174, 60.805, 184.522222222
128*512*512, 4096, 4,  0.812,  0.694, 9.5, 80.5
1024*10240*10240, 1024, 1,  3.803,  5.218, 18.3833333333, 56.775
256*1024*1024, 4096, 1,  0.286,  0.31, 11.25, 42.0
1024*10240*10240, 1024, 2,  2.565,  4.317, 21.696875, 76.9545238095
320*2048*2048, 2048, 1,  0.508,  0.51, 38.3333333333, 70.6666666667
320*2048*2048, 1024, 2,  0.41,  0.499, 13.25, 57.4375
320*2048*2048, 4096, 2,  0.482,  0.562, 37.0, 87.3333333333
320*2048*2048, 2048, 2,  0.447,  0.531, 36.0, 80.75
640*4096*4096, 2048, 1,  0.763,  1.082, 51.6875, 175.5
128*512*512, 1024, 2,  0.295,  0.234, 7.0, 48.6666666667
256*1024*1024, 2048, 1,  0.314,  0.311, 15.6666666667, 31.3333333333
1024*10240*10240, 1024, 4,  3.001,  4.762, 44.0838095238, 220.429285714
128*512*512, 1024, 4,  0.408,  0.777, 4.33333333333, 56.6666666667
1024*10240*10240, 4096, 4,  2.736,  4.109, 182.333333333, 627.708333333
256*1024*1024, 4096, 2,  0.723,  0.339, 19.6666666667, 51.5
256*1024*1024, 2048, 2,  0.301,  0.316, 17.0, 50.3333333333
320*2048*2048, 4096, 4,  1.117,  1.021, 42.5, 97.0
320*2048*2048, 2048, 4,  0.647,  0.684, 38.3333333333, 127.0
640*4096*4096, 2048, 2,  0.797,  1.036, 47.9166666667, 174.2
2048*20480*20480, 4096, 2,  10.464,  26.736, 720.75, 3389.36111111
640*4096*4096, 1024, 4,  0.74,  1.135, 21.575, 95.4708333333
2048*20480*20480, 1024, 4,  13.235,  27.018, 55.2898055556, 309.84108715
2048*20480*20480, 4096, 1,  14.698,  29.486, 365.141666667, 1450.89650794
640*4096*4096, 2048, 4,  0.891,  1.423, 53.3, 186.75
1024*10240*10240, 4096, 1,  3.887,  4.388, 142.4375, 270.736111111
128*512*512, 1024, 1,  0.229,  0.223, 6.75, 33.25
128*512*512, 2048, 1,  0.21,  0.214, 5.0, 18.25
128*512*512, 4096, 1,  0.215,  0.235, 4.0, 29.3333333333
1024*10240*10240, 4096, 2,  2.585,  4.033, 160.314814815, 654.682539683
128*512*512, 2048, 2,  0.227,  0.251, 6.33333333333, 39.6666666667
256*1024*1024, 1024, 1,  0.284,  0.322, 15.0, 34.5
640*4096*4096, 1024, 1,  0.851,  0.993, 15.3020833333, 42.4375
640*4096*4096, 4096, 1,  1.231,  1.387, 155.0, 232.666666667
2048*20480*20480, 2048, 1,  14.919,  32.597, 110.21, 462.156666667
640*4096*4096, 1024, 2,  0.639,  1.052, 19.6726190476, 98.2125
128*512*512, 2048, 4,  0.508,  0.701, 6.0, 56.0
128*512*512, 4096, 2,  0.608,  0.229, 11.3333333333, 39.75
640*4096*4096, 4096, 2,  1.277,  1.296, 163.75, 230.5
2048*20480*20480, 2048, 4,  12.108,  24.888, 350.676190476, 1484.21619048
256*1024*1024, 1024, 2,  0.374,  0.417, 20.3333333333, 84.3333333333
