Matrix Size, Block Size, Executor Num, DAAL CPU Only(s), Vanilla OpenBLAS(s), DAAL gemm(ms), Vanilla gemm(ms)
1024*10240*10240, 128, 4,  12.499,  43.003, 1.07547869511, 12.7222168968
2048*20480*20480, 1024, 2,  11.999,  30.285, 36.1008333333, 226.618541667
4096*20480*20480, 512, 4,  73.27,  135.119, 11.8047569179, 123.8886194
2048*20480*20480, 128, 4,  186.627,  368.566, 1.3428271974, 12.6926861111
2048*20480*20480, 1024, 1,  18.956,  39.024, 22.4441666667, 132.06125
512*4096*4096, 512, 1,  0.827,  1.118, 4.19140625, 12.9921875
4096*20480*20480, 512, 2,  90.28,  155.927, 8.05229166667, 112.317942708
512*4096*4096, 512, 2,  0.616,  0.98, 4.33984375, 27.72265625
4096*20480*20480, 128, 2,  1622.078,  582.589, 1.10852365801, 7.59537516276
4096*20480*20480, 4096, 1,  25.455,  52.192, 695.15, 3055.80416667
2048*20480*20480, 512, 4,  19.98,  52.324, 11.1376944444, 102.652744882
4096*20480*20480, 128, 1,  305.072,  267.885, 0.218859049479, 0.88957804362
1024*10240*10240, 1024, 1,  3.824,  5.276, 18.475, 58.0975
4096*20480*20480, 4096, 2,  19.691,  50.399, 1386.48333333, 6239.26666667
512*4096*4096, 256, 1,  1.042,  2.097, 0.740885416667, 6.80533854167
1024*10240*10240, 256, 4,  8.927,  19.88, 1.50163918741, 46.9549022367
1024*10240*10240, 1024, 2,  2.666,  4.258, 22.2638888889, 76.2348484848
128*512*512, 128, 2,  0.244,  0.36, 4.41666666667, 27.369047619
4096*20480*20480, 512, 1,  44.779,  96.946, 4.10859375, 23.6317708333
2048*20480*20480, 128, 1,  119.674,  118.242, 0.208219401042, 0.846075032552
512*4096*4096, 256, 4,  1.359,  2.366, 1.37927083333, 49.5320898719
4096*20480*20480, 2048, 2,  18.566,  47.613, 221.286721612, 1146.40952381
2048*20480*20480, 128, 2,  780.988,  232.56, 0.690386284722, 6.71551757812
2048*20480*20480, 2048, 2,  11.013,  25.504, 137.537301587, 587.284259259
1024*10240*10240, 1024, 4,  2.921,  4.879, 43.753968254, 239.625238095
256*1024*1024, 128, 4,  0.437,  0.936, 2.19081632653, 48.3406520563
512*4096*4096, 256, 2,  1.35,  2.909, 0.927083333333, 17.8132291667
1024*10240*10240, 256, 1,  7.703,  14.565, 0.67671875, 6.5371875
128*512*512, 128, 1,  0.209,  0.242, 1.325, 5.3375
256*1024*1024, 256, 2,  0.266,  0.451, 1.859375, 30.7447916667
4096*20480*20480, 128, 4,  410.846,  629.257, 1.11030273438, 12.9064009797
1024*10240*10240, 256, 2,  7.719,  19.058, 1.25670833333, 33.660787037
256*1024*1024, 128, 2,  0.342,  0.527, 1.01325757576, 15.9682765152
1024*10240*10240, 512, 4,  3.63,  7.48, 7.41802406832, 88.564456507
4096*20480*20480, 2048, 4,  22.093,  47.737, 725.913333333, 3325.61825397
512*4096*4096, 128, 1,  12.826,  1.584, 0.399088541667, 0.908854166667
2048*20480*20480, 2048, 4,  12.474,  25.046, 353.096666667, 1482.65
2048*20480*20480, 256, 1,  46.85,  116.787, 0.732740885417, 6.77310546875
128*512*512, 128, 4,  0.354,  0.465, 2.14, 24.4097222222
1024*10240*10240, 512, 2,  3.103,  6.912, 4.71324074074, 44.778
256*1024*1024, 256, 1,  0.239,  0.379, 1.2875, 16.6875
2048*20480*20480, 256, 2,  141.485,  143.251, 1.22420014881, 30.5899739583
1024*10240*10240, 128, 2,  27.546,  21.061, 0.908020833333, 5.55367838542
256*1024*1024, 128, 1,  0.331,  0.324, 0.557291666667, 3.30989583333
4096*20480*20480, 2048, 1,  23.433,  62.461, 151.873333333, 984.366666667
512*4096*4096, 128, 2,  1.294,  4.146, 0.844762731481, 9.16292317708
1024*10240*10240, 128, 1,  15.381,  17.555, 0.185546875, 0.943587239583
4096*20480*20480, 1024, 1,  31.285,  69.667, 22.4539583333, 135.572708333
2048*20480*20480, 256, 4,  89.035,  183.743, 2.67033014728, 50.3325184819
2048*20480*20480, 512, 1,  26.357,  53.287, 4.08052083333, 22.5225520833
4096*20480*20480, 256, 4,  201.331,  439.4, 2.84521390166, 53.5950138889
4096*20480*20480, 1024, 2,  34.264,  62.895, 80.90875, 477.669166667
1024*10240*10240, 512, 1,  4.668,  7.647, 4.5675, 23.1583333333
256*1024*1024, 256, 4,  0.345,  0.474, 2.0125, 21.575
512*4096*4096, 128, 4,  1.463,  4.423, 0.919395669927, 19.0410773026
512*4096*4096, 512, 4,  0.736,  1.249, 7.8931547619, 61.376984127
2048*20480*20480, 2048, 1,  16.022,  32.787, 114.8975, 459.2175
4096*20480*20480, 256, 2,  114.245,  264.632, 2.45100260417, 29.3500716146
4096*20480*20480, 1024, 4,  26.237,  53.878, 77.2496546093, 374.612727363
2048*20480*20480, 1024, 4,  12.978,  27.245, 66.4947415326, 336.321666667
4096*20480*20480, 4096, 4,  18.534,  42.446, 1387.73888889, 5198.93333333
2048*20480*20480, 512, 2,  20.602,  59.966, 10.73015625, 112.876770833
4096*20480*20480, 256, 1,  85.641,  214.793, 0.804557291667, 7.42316731771
